name,screen_name
"Bill Pascrell, Jr.",BillPascrell
House Armed Services,HASCDemocrats
Ted Poe,JudgeTedPoe
Senator Bob Corker,SenBobCorker
Kirsten Gillibrand,SenGillibrand
Louise Slaughter,louiseslaughter
Foreign Affairs Cmte,HFACDemocrats
Tom Udall,SenatorTomUdall
Rep. Adam Smith,RepAdamSmith
Mike Quigley,RepMikeQuigley
Bill Cassidy,BillCassidy
Dr. Phil Roe,DrPhilRoe
US Rep. Mike Turner,RepMikeTurner
Rep. John Larson,RepJohnLarson
Tom McClintock,RepMcClintock
Steve King,SteveKingIA
Mimi Walters,RepMimiWalters
Brian Schatz,brianschatz
Sherrod Brown,SenSherrodBrown
Financial Services,FinancialCmte
Pete Aguilar,aguilarpete
Rep. Lloyd Smucker,RepSmucker
(((Rep. Nadler))),RepJerryNadler
Mike Doyle,USRepMikeDoyle
Robin Kelly,Robin42CD
Rep. Doris Matsui,DorisMatsui
Bob Goodlatte,RepGoodlatte
Mario Diaz-Balart,MarioDB
Rep. Don Young,repdonyoung
Luis V. Gutierrez,RepGutierrez
Maxine Waters,MaxineWaters
T&I Committee,Transport
Mike Rogers,RepMikeRogersAL
Dennis Ross,RepDennisRoss
Brian Higgins,RepBrianHiggins
Jose E. Serrano,RepJoseSerrano
Amy Klobuchar,amyklobuchar
Rep. Greg Walden,repgregwalden
Rep. Frank Pallone,FrankPallone
Jim Himes,jahimes
Ways and Means Dems,WaysMeansCmte
House OversightDems,OversightDems
Energy Commerce Dems,EnergyCommerce
Appropriations-Dems,AppropsDems
Kamala Harris,KamalaHarris
Rep. Brad Sherman,BradSherman
Adam Schiff,RepAdamSchiff
John Lewis,repjohnlewis
Bernie Sanders,SenSanders
Senator Jeff Merkley,SenJeffMerkley
Raul M. Grijalva,RepRaulGrijalva
Rep. Diana DeGette,RepDianaDeGette
Patrick McHenry,PatrickMcHenry
Rep. Walter Jones,RepWalterJones
Michael McCaul,RepMcCaul
Gus Bilirakis,RepGusBilirakis
Sandy Levin,repsandylevin
Bill Posey,congbillposey
Jackie Speier,RepSpeier
Rep. Trent Franks,RepTrentFranks
Rep. Hank Johnson,RepHankJohnson
Pete Sessions,PeteSessions
Jan Schakowsky,janschakowsky
John Culberson,CongCulberson
Kenny Marchant,RepKenMarchant
Tom Rooney,TomRooney
Gregg Harper,GreggHarper
Eleanor H. Norton,EleanorNorton
David Cicilline,davidcicilline
Rep. Tom Cole,TomColeOK04
Gregory Meeks,GregoryMeeks
Gwen Moore,RepGwenMoore
Ken Calvert,KenCalvert
Bill Shuster,RepBillShuster
Jim Cooper,repjimcooper
Darrell Issa,DarrellIssa
Louie Gohmert,replouiegohmert
Science Committee,SciCmteDems
Steny Hoyer,WhipHoyer
Ed Markey,SenMarkey
Senator Roy Blunt,RoyBlunt
Richard Burr,SenatorBurr
Richard Shelby,SenShelby
Bill Nelson,SenBillNelson
Rep. Ed Perlmutter,RepPerlmutter
Inhofe Press Office,InhofePress
Rep. Kurt Schrader,RepSchrader
Rep. Vern Buchanan,VernBuchanan
Armed Services,HASCRepublicans
Debbie Stabenow,stabenow
Rep. Pete Olson,RepPeteOlson
Peter Roskam,PeterRoskam
Joe Barton,RepJoeBarton
RepKevinBrady,RepKevinBrady
Kevin McCarthy,GOPLeader
Sen. Susan Collins,SenatorCollins
Lynn Jenkins,RepLynnJenkins
Rep. Mike Coffman,RepMikeCoffman
John McCain,SenJohnMcCain
Ben Ray Lujan,repbenraylujan
Dana Rohrabacher,DanaRohrabacher
Glenn 'GT' Thompson,CongressmanGT
Paul Ryan,SpeakerRyan
Rob Portman,senrobportman
Jim Langevin,JimLangevin
Jeff Fortenberry,JeffFortenberry
RepScottPerry,RepScottPerry
Albio Sires,RepSires
Senator Bob Menendez,SenatorMenendez
Jerry Moran,JerryMoran
Jeb Hensarling,RepHensarling
Rep. Pete King,RepPeteKing
Rep. Jim Jordan,Jim_Jordan
Chris Van Hollen,ChrisVanHollen
Sen. Lisa Murkowski,lisamurkowski
Judge Carter,JudgeCarter
CathyMcMorrisRodgers,cathymcmorris
Dina Titus,dinatitus
Blake Farenthold,farenthold
Jason Chaffetz,jasoninthehouse
Rep. Todd Rokita,ToddRokita
Rep. Erik Paulsen,RepErikPaulsen
Chuck Schumer,SenSchumer
Ed & Workforce Cmte,EdWorkforce
Virginia Foxx,virginiafoxx
Claire McCaskill,clairecmc
Dave Reichert,davereichert
Jeff Flake,JeffFlake
Earl Blumenauer,repblumenauer
Lamar Smith,LamarSmithTX21
Cory Booker,CoryBooker
Nancy Pelosi,NancyPelosi
"Michael Burgess, MD",michaelcburgess
Marco Rubio,marcorubio
John Shimkus,RepShimkus
U.S. Rep. Bob Latta,boblatta
Jared Polis,jaredpolis
Rep. Rob Wittman,RobWittman
Senator Chris Coons,ChrisCoons
Chellie Pingree,chelliepingree
johnculberson,johnculberson
Lindsey Graham,GrahamBlog
Senate Republicans,SenateGOP
